Date,Open,High,Low,Close,Adj Close,Volume,Ticker,prev_Close,prev_Volume,50SMA,200SMA,50SMA_vol,bb_upperband,bb_lowerband,bb_lb_cross,bb_ub_cross,macd_line,macd_hist,macd_signal,macd_trend,macd_trend_reversal,uptrend_days,downtrend_days,roc,roc_buy_signal,roc_sell_signal,rsi,rsi_buy_signal,rsi_sell_signal,volChange,volSurgeInd,is52wkHigh,is52wkLow,50gt200,tradingabv50SMA,gap_pct
10/11/22,97.43,99.25,96.31,97.18,97.18,26507100,GOOGL,97.86,18225100,108.52,121.23,25523864,104.67,95.2,0,0,-2.63,0.34,-2.96,Uptrend,FALSE,6,0,-79.02,FALSE,FALSE,37.5,FALSE,FALSE,1.04,0,0,0,0,0,-0.69
10/10/22,99,99.1,97.01,97.86,97.86,18225100,GOOGL,98.68,27502800,108.87,121.48,25903830,105.22,95.37,0,0,-2.61,0.44,-3.05,Uptrend,FALSE,5,0,-79.76,FALSE,FALSE,38.71,FALSE,FALSE,0.7,0,0,0,0,0,-0.83
10/7/22,99.85,100.53,98.3,98.68,98.68,27502800,GOOGL,101.42,22324000,109.24,121.73,26010106,107.55,94.33,0,0,-2.62,0.54,-3.16,Uptrend,FALSE,4,0,-78.73,FALSE,FALSE,40.16,FALSE,FALSE,1.06,0,0,0,0,0,-2.7
10/6/22,100.68,102.93,100.59,101.42,101.42,22324000,GOOGL,101.43,22176900,109.55,121.95,26760796,109.29,93.79,0,0,-2.67,0.62,-3.29,Uptrend,FALSE,3,0,-74,FALSE,FALSE,45.44,FALSE,FALSE,0.83,0,0,0,0,0,-0.01
10/5/22,99.83,101.93,98.8,101.43,101.43,22176900,GOOGL,101.64,28850800,109.78,122.15,27277078,110.19,93.59,0,0,-2.98,0.47,-3.45,Uptrend,FALSE,2,0,-70.8,FALSE,FALSE,45.46,FALSE,FALSE,0.81,0,0,0,0,0,-0.21
10/4/22,100.44,101.84,100.38,101.64,101.64,28850800,GOOGL,98.64,27982000,109.86,122.35,27393880,111.22,93.36,0,0,-3.34,0.23,-3.56,Uptrend,TRUE,1,0,-68.71,FALSE,FALSE,45.86,FALSE,FALSE,1.05,0,0,0,0,0,3.04
10/3/22,96.76,99.29,96.52,98.64,98.64,27982000,GOOGL,95.65,32941500,109.97,122.57,27812264,111.68,93.41,0,0,-3.76,-0.14,-3.62,Downtrend,FALSE,0,30,-81.79,FALSE,FALSE,38.73,FALSE,FALSE,1.01,0,0,0,0,0,3.13
9/30/22,97.05,98.9,95.56,95.65,95.65,32941500,GOOGL,97.42,31047200,110.16,122.81,27806958,112.24,93.78,0,0,-3.95,-0.36,-3.59,Downtrend,FALSE,0,29,-83.85,FALSE,FALSE,30.24,FALSE,FALSE,1.18,0,0,1,0,0,-1.82
9/29/22,98.64,98.64,95.96,97.42,97.42,31047200,GOOGL,100.05,32466300,110.53,123.05,27898022,112.74,94.69,0,0,-3.82,-0.32,-3.5,Downtrend,FALSE,0,28,-78.61,FALSE,FALSE,32.74,TRUE,FALSE,1.11,0,0,1,0,0,-2.63
9/28/22,97.65,100.7,97.11,100.05,100.05,32466300,GOOGL,97.5,30072800,110.86,123.29,27979314,112.99,95.52,0,0,-3.78,-0.36,-3.42,Downtrend,FALSE,0,27,-74.85,FALSE,FALSE,36.94,FALSE,FALSE,1.16,0,0,0,0,0,2.62
9/27/22,99.43,100,96.87,97.5,97.5,30072800,GOOGL,98.17,27072700,111.14,123.53,28241150,113.44,95.96,0,0,-3.94,-0.62,-3.33,Downtrend,FALSE,0,26,-87.06,FALSE,FALSE,28.7,FALSE,FALSE,1.06,0,0,1,0,0,-0.68
9/26/22,98.1,99.88,97.8,98.17,98.17,27072700,GOOGL,98.74,31625400,111.37,123.78,28635096,113.61,96.98,0,0,-3.83,-0.66,-3.17,Downtrend,FALSE,0,25,-92.66,FALSE,FALSE,29.64,FALSE,FALSE,0.95,0,0,1,0,0,-0.58
9/23/22,99.63,99.66,97.47,98.74,98.74,31625400,GOOGL,100.14,34298600,111.64,124.03,28742668,113.81,97.99,0,0,-3.71,-0.7,-3.01,Downtrend,FALSE,0,24,-89.84,FALSE,FALSE,30.43,FALSE,FALSE,1.1,0,0,1,0,0,-1.4
9/22/22,98.82,101.24,98.79,100.14,100.14,34298600,GOOGL,99.28,31487300,111.87,124.27,28931136,115.3,98.3,0,0,-3.55,-0.72,-2.83,Downtrend,FALSE,0,23,-80.71,FALSE,FALSE,32.41,FALSE,FALSE,1.19,0,0,0,0,0,0.87
9/21/22,101.67,102.88,99.27,99.28,99.28,31487300,GOOGL,101.14,26517100,112.1,124.49,28900590,115.9,99.05,0,0,-3.44,-0.79,-2.65,Downtrend,FALSE,0,22,-80.84,FALSE,FALSE,29.81,FALSE,FALSE,1.09,0,0,1,0,0,-1.84
9/20/22,102.08,102.37,100.52,101.14,101.14,26517100,GOOGL,103.07,23036800,112.39,124.7,28994168,116.18,100.23,0,0,-3.16,-0.7,-2.46,Downtrend,FALSE,0,21,-77.82,FALSE,FALSE,32.3,TRUE,FALSE,0.91,0,0,1,0,0,-1.87
9/19/22,101.75,103.33,101.55,103.07,103.07,23036800,GOOGL,102.8,42797200,112.68,124.91,29298192,116.55,101.17,0,0,-2.95,-0.67,-2.28,Downtrend,FALSE,0,20,-69.1,FALSE,FALSE,35.14,FALSE,FALSE,0.79,0,0,0,0,0,0.26
9/16/22,102.07,103.13,100.94,102.8,102.8,42797200,GOOGL,102.91,34188300,113.01,125.1,29260968,117.59,101.54,0,0,-2.83,-0.72,-2.11,Downtrend,FALSE,0,19,-69.96,FALSE,FALSE,34.39,FALSE,FALSE,1.46,0,0,1,0,0,-0.11
9/15/22,104.03,105.27,102.35,102.91,102.91,34188300,GOOGL,105,26395100,113.33,125.29,29325842,119.08,101.79,0,0,-2.62,-0.68,-1.93,Downtrend,FALSE,0,18,-73.54,FALSE,FALSE,34.54,FALSE,FALSE,1.17,0,0,1,0,0,-1.99
9/14/22,104.57,105.28,103.66,105,105,26395100,GOOGL,104.32,38172900,113.56,125.51,29584780,120.06,102.48,0,0,-2.31,-0.55,-1.76,Downtrend,FALSE,0,17,-63.16,FALSE,FALSE,37.43,FALSE,FALSE,0.89,0,0,0,0,0,0.65
9/13/22,107.8,108.3,104.09,104.32,104.32,38172900,GOOGL,110.86,22966800,113.73,125.69,29530842,121.5,102.7,0,0,-2.1,-0.48,-1.63,Downtrend,FALSE,0,16,-62.18,FALSE,FALSE,35.81,FALSE,FALSE,1.29,0,0,1,0,0,-5.9
9/12/22,110.99,111.62,109.93,110.86,110.86,22966800,GOOGL,110.65,23197700,113.81,125.9,29934906,122.63,103.35,0,0,-1.74,-0.23,-1.51,Downtrend,FALSE,0,15,-40.27,FALSE,FALSE,46.61,FALSE,FALSE,0.77,0,0,0,0,0,0.19
9/9/22,109.07,110.99,109.02,110.65,110.65,23197700,GOOGL,108.38,24238300,113.78,126.08,29965272,123.83,103.23,0,0,-1.91,-0.46,-1.45,Downtrend,FALSE,0,14,-48.92,FALSE,FALSE,46.12,FALSE,FALSE,0.77,0,0,0,0,0,2.09
9/8/22,108.04,109.6,107.16,108.38,108.38,24238300,GOOGL,109.45,23167000,113.8,126.26,30196346,124.4,103.49,0,0,-2.08,-0.75,-1.33,Downtrend,FALSE,0,13,-57.33,FALSE,FALSE,40.72,FALSE,FALSE,0.8,0,0,0,0,0,-0.98
9/7/22,107.06,109.98,106.9,109.45,109.45,23167000,GOOGL,106.81,25068300,113.87,126.46,30461406,124.92,104.09,0,0,-2.04,-0.89,-1.15,Downtrend,FALSE,0,12,-55.37,FALSE,FALSE,42.59,FALSE,FALSE,0.76,0,0,0,0,0,2.47
9/6/22,107.3,108.03,105.78,106.81,106.81,25068300,GOOGL,107.85,24160700,114,126.66,30783320,125.05,104.68,0,0,-2.07,-1.14,-0.92,Downtrend,FALSE,0,11,-59.3,FALSE,FALSE,35.85,FALSE,FALSE,0.81,0,0,0,0,0,-0.96
9/2/22,110.59,110.74,107.26,107.85,107.85,24160700,GOOGL,109.74,28360900,114.22,126.87,30867346,124.92,105.86,0,0,-1.8,-1.16,-0.64,Downtrend,FALSE,0,10,-53.98,FALSE,FALSE,37.46,FALSE,FALSE,0.78,0,0,0,0,0,-1.72
9/1/22,108.28,110.45,107.36,109.74,109.74,28360900,GOOGL,108.22,28627000,114.31,127.07,30915608,124.78,106.96,0,0,-1.54,-1.2,-0.35,Downtrend,FALSE,0,9,-55,FALSE,FALSE,40.53,FALSE,FALSE,0.92,0,0,0,0,0,1.4
8/31/22,110.65,110.85,108.13,108.22,108.22,28627000,GOOGL,108.94,27513300,114.34,127.26,31291388,124.8,107.79,0,0,-1.38,-1.33,-0.05,Downtrend,FALSE,0,8,-55.37,FALSE,FALSE,36.65,FALSE,FALSE,0.91,0,0,0,0,0,-0.66
8/30/22,110.17,110.5,107.8,108.94,108.94,27513300,GOOGL,109.42,21191200,114.41,127.46,31768642,124.46,109.11,1,0,-1,-1.29,0.29,Downtrend,FALSE,0,7,-53.1,FALSE,FALSE,37.73,FALSE,FALSE,0.87,0,0,0,0,0,-0.44
8/29/22,109.99,110.95,108.8,109.42,109.42,21191200,GOOGL,110.34,37245700,114.37,127.65,32378498,123.93,110.26,1,0,-0.58,-1.18,0.61,Downtrend,FALSE,0,6,-50.91,FALSE,FALSE,38.44,FALSE,FALSE,0.65,0,0,0,0,0,-0.83
8/26/22,114.72,115.12,110.19,110.34,110.34,37245700,GOOGL,116.65,16956800,114.31,127.83,32427544,123.34,111.4,1,0,-0.07,-0.98,0.9,Downtrend,FALSE,0,5,-41.32,FALSE,FALSE,39.75,FALSE,FALSE,1.15,0,0,0,0,0,-5.41
8/25/22,114.24,116.72,114.11,116.65,116.65,16956800,GOOGL,113.69,17734600,114.29,128.02,32762528,122.73,112.6,0,0,0.48,-0.67,1.15,Downtrend,FALSE,0,4,-17.72,FALSE,FALSE,50.85,FALSE,FALSE,0.52,0,0,0,0,1,2.6
8/24/22,113.5,114.78,112.87,113.69,113.69,17734600,GOOGL,113.86,15870400,114.1,128.18,33352876,122.82,112.28,0,0,0.53,-0.79,1.32,Downtrend,FALSE,0,3,-18.3,FALSE,FALSE,44.05,FALSE,FALSE,0.53,0,0,0,0,0,-0.15
8/23/22,113.48,115.01,113.43,113.86,113.86,15870400,GOOGL,114.24,21456600,113.95,128.36,33864508,122.88,112.15,0,0,0.89,-0.62,1.51,Downtrend,FALSE,0,2,-21.42,FALSE,FALSE,44.37,FALSE,FALSE,0.47,0,0,0,0,0,-0.33
8/22/22,115.2,115.63,113.85,114.24,114.24,21456600,GOOGL,117.21,21809500,113.9,128.53,33951336,124.59,109.55,0,0,1.32,-0.35,1.67,Downtrend,TRUE,0,1,-18.1,FALSE,FALSE,45.07,FALSE,FALSE,0.63,0,0,0,0,1,-2.53
8/19/22,119.06,119.15,116.76,117.21,117.21,21809500,GOOGL,120.17,17987700,113.91,128.69,34037306,125.27,108.2,0,0,1.81,0.05,1.75,Uptrend,FALSE,16,0,-15.04,FALSE,FALSE,50.86,FALSE,FALSE,0.64,0,0,0,0,1,-2.46
8/18/22,119.43,120.82,118.72,120.17,120.17,17987700,GOOGL,119.55,22847000,113.91,128.83,34309352,125.63,106.92,0,0,2.11,0.37,1.74,Uptrend,FALSE,15,0,-7.72,FALSE,FALSE,57.71,FALSE,FALSE,0.52,0,0,0,0,1,0.52
8/17/22,120.12,121.29,119.38,119.55,119.55,22847000,GOOGL,121.7,19041200,113.85,128.95,34523252,125.19,106.77,0,0,2.16,0.51,1.65,Uptrend,FALSE,14,0,-18.04,FALSE,FALSE,56.57,FALSE,FALSE,0.66,0,0,0,0,1,-1.77
8/16/22,121.52,122.43,120.64,121.7,121.7,19041200,GOOGL,122.08,19494800,113.79,129.09,34665148,124.8,106.59,0,0,2.25,0.73,1.52,Uptrend,FALSE,13,0,-4.96,FALSE,FALSE,61.95,FALSE,FALSE,0.55,0,0,0,0,1,-0.31
8/15/22,121.13,122.3,120.61,122.08,122.08,19494800,GOOGL,121.68,19096300,113.65,129.21,35035092,124.01,106.6,0,0,2.12,0.77,1.34,Uptrend,FALSE,12,0,-6.87,FALSE,FALSE,62.93,FALSE,FALSE,0.56,0,0,0,0,1,0.33
